releaseId,title,version,artistId,artistAppearsAs,barcode,type,year,explicitContent,trackCount,duration,tags,licensorId,image,dateAdded,releaseDate,labelId,labelName,formats,price,rrp,url
112,Hopes And Fears,UK version,1,Keane,00602498665732,Album,2012,false,12,3033,"pop,2000s,alternative-indie,britpop,pop-rock,island,rock,indie-rock,soft-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/001/0000000112_<$size$>.jpg,2008-08-31T22:18:08.160Z,2004-05-02T00:00:00Z,98329,Universal Music Ltd. (Malaysia branch),"17,",5.49,5.49,http://www.7digital.com/artist/keane/release/hopes-and-fears-uk-version
135,Somewhere Only We Know,Enhanced,1,Keane,00602498164181,Single,2009,false,3,684,"2000s,indie-rock,pop,pop-rock,rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/001/0000000135_<$size$>.jpg,2008-08-31T22:18:08.567Z,2004-02-16T00:00:00Z,15788,Universal Music Spain S.L.,"17,",1.99,1.99,http://www.7digital.com/artist/keane/release/somewhere-only-we-know-enhanced
1854,This Is The Last Time,Enhanced,1,Keane,00602498692097,Single,2002,false,3,719,"pop,2000s,alternative-indie,britpop,rock,pop-rock,indie-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/018/0000001854_<$size$>.jpg,2008-08-31T22:18:15.240Z,2004-11-22T00:00:00Z,98329,Universal Music Ltd. (Malaysia branch),"17,",1.99,1.99,http://www.7digital.com/artist/keane/release/this-is-the-last-time-enhanced
10574,Everybody's Changing,Enhanced,1,Keane,00602498665206,Single,2009,false,3,733,"pop,2000s,alternative-indie,britpop,rock,pop-rock,indie-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/105/0000010574_<$size$>.jpg,2008-08-31T22:18:22.583Z,2004-07-12T00:00:00Z,15788,Universal Music Spain S.L.,"17,",1.99,1.99,http://www.7digital.com/artist/keane/release/everybodys-changing-enhanced
10575,Bedshaped,Enhanced,1,Keane,00602498676691,Single,2009,false,3,746,"2000s,indie-rock,pop,pop-rock,rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/105/0000010575_<$size$>.jpg,2011-09-12T15:02:46.550Z,2004-08-16T00:00:00Z,15788,Universal Music Spain S.L.,"17,",1.99,1.99,http://www.7digital.com/artist/keane/release/bedshaped-enhanced
13776,Everybody's Changing,"3"" Pocket CD",1,Keane,00602498671863,Single,2004,false,2,549,"2000s,alternative-indie,britpop,pop,rock,pop-rock,indie-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/137/0000013776_<$size$>.jpg,2008-08-31T22:18:27.803Z,2004-07-30T00:00:00Z,3309,Universal Music Ireland Ltd.,"17,",1.29,1.29,http://www.7digital.com/artist/keane/release/everybodys-changing-3-pocket-cd
33521,Is It Any Wonder?,Album version,1,Keane,00602498583166,Single,1995,false,1,186,"2000s,pop,rock,pop-rock,indie-rock,soft-rock,electronic,house",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/335/0000033521_<$size$>.jpg,2008-08-31T22:19:19.240Z,2010-03-23T00:00:00Z,98329,Universal Music Ltd. (Malaysia branch),"17,",0.99,,http://www.7digital.com/artist/keane/release/is-it-any-wonder-album-version
35011,Is It Any Wonder?,Acoustic,1,Keane,00602517004368,Single,2006,false,1,170,"2000s,pop,rock,pop-rock,indie-rock,soft-rock,electronic,house",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/350/0000035011_<$size$>.jpg,2008-08-31T22:19:20.070Z,2006-05-29T00:00:00Z,110578,PT. Universal Music Indonesia,"17,",0.99,,http://www.7digital.com/artist/keane/release/is-it-any-wonder-acoustic
36567,Under The Iron Sea,UK edition,1,Keane,00602498782279,Album,2006,false,12,3027,"2000s,pop,pop-rock,rock,indie-rock,soft-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/365/0000036567_<$size$>.jpg,2008-08-31T22:19:23.820Z,2006-06-12T00:00:00Z,20348,Universal Music GmbH,"17,",5.49,5.49,http://www.7digital.com/artist/keane/release/under-the-iron-sea-uk-edition
36712,Is It Any Wonder?,Live @ ULU,1,Keane,00602517000773,Single,1995,false,1,192,"2000s,pop,rock,pop-rock,indie-rock,soft-rock,electronic,house",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/367/0000036712_<$size$>.jpg,2008-08-31T22:19:24.303Z,2006-05-29T00:00:00Z,98329,Universal Music Ltd. (Malaysia branch),"17,",0.99,,http://www.7digital.com/artist/keane/release/is-it-any-wonder-live-ulu
40810,Crystal Ball,Live at ULU,1,Keane,00602517070547,Single,2006,false,1,579,"2000s,pop,pop-rock,rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/408/0000040810_<$size$>.jpg,2008-08-31T22:19:30.350Z,2006-08-21T00:00:00Z,100389,Universal Music (Thailand) Ltd.,"17,",0.99,,http://www.7digital.com/artist/keane/release/crystal-ball-live-at-ulu
41216,Crystal Ball,Radio Session Vesion,1,Keane,00602517075603,Single,2006,false,1,235,"2000s,pop,pop-rock,rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/412/0000041216_<$size$>.jpg,2008-08-31T22:19:30.617Z,2006-08-19T00:00:00Z,110578,PT. Universal Music Indonesia,"17,",0.99,,http://www.7digital.com/artist/keane/release/crystal-ball-radio-session-vesion
42564,Crystal Ball,Tall Paul Remix,1,Keane,00602517075610,Single,2006,false,1,468,"2000s,pop,pop-rock,rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/425/0000042564_<$size$>.jpg,2008-08-31T22:19:31.883Z,2006-08-19T00:00:00Z,100389,Universal Music (Thailand) Ltd.,"17,",0.99,,http://www.7digital.com/artist/keane/release/crystal-ball-tall-paul-remix
43867,Is It Any Wonder?,Tall Paul & Dave Parkinson Edit,1,Keane,00602517057142,Single,2006,false,1,234,"2000s,pop,rock,pop-rock,indie-rock,soft-rock,electronic,house",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/438/0000043867_<$size$>.jpg,2008-08-31T22:19:33.477Z,2006-08-07T00:00:00Z,3295,Universal Music International Div.,"17,",0.99,,http://www.7digital.com/artist/keane/release/is-it-any-wonder-tall-paul-dave-parkinson-edit
47002,Nothing In My Way,Live at ULU,1,Keane,00602517140189,Single,2006,false,1,243,"2000s,alternative-indie,britpop,pop,rock,pop-rock,indie-rock",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/470/0000047002_<$size$>.jpg,2008-08-31T22:19:38.727Z,2006-10-30T00:00:00Z,110578,PT. Universal Music Indonesia,"17,",0.99,,http://www.7digital.com/artist/keane/release/nothing-in-my-way-live-at-ulu
158654,The Night Sky,,1,Keane,00602517528161,Single,2007,false,1,303,"rock,2000s,pop,pop-rock,electronic,electro",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/586/0000158654_<$size$>.jpg,2008-08-31T22:20:48.917Z,2007-10-22T00:00:00Z,3309,Universal Music Ireland Ltd.,"17,",0.99,,http://www.7digital.com/artists/keane/the-night-sky-1
168136,The Night Sky,,1,Keane,00602517511064,Single,1995,false,3,881,"pop,2000s,rock,pop-rock,electronic,electro",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/681/0000168136_<$size$>.jpg,2010-06-25T15:30:34.243Z,2007-10-22T00:00:00Z,98329,Universal Music Ltd. (Malaysia branch),"17,",1.99,1.99,http://www.7digital.com/artist/keane/release/the-night-sky-2
174161,Live,,1,Keane,00602517543638,Single,2007,false,4,1016,"pop,pop-rock,rock,2000s",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/741/0000174161_<$size$>.jpg,2008-12-04T11:07:04.287Z,2010-04-21T00:00:00Z,91940,Universal Music Pte. Ltd.,"4,9,13,17,21,",2.29,2.29,http://www.7digital.com/artist/keane/release/live
216585,A Bad Dream,International 2 track,1,Keane,00602517300576,Single,2007,false,2,579,"rock,2000s,alternative-indie,britpop,pop,pop-rock,electronic,hardcore",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/165/0000216585_<$size$>.jpg,2010-05-26T16:33:02.633Z,2007-03-26T00:00:00Z,99670,Universal Music Ltd.,"17,",1.29,1.29,http://www.7digital.com/artist/keane/release/a-bad-dream
265371,Frank,Deluxe Standard Edition,4,Amy Winehouse,00602517668546,Album,2008,false,31,8045,"2000s,funk,hip-hop-rap,pop-rock,randb-soul,rhythm-and-blues,singer-songwriter,swing,pop,electronic,jazz,blues,downtempo,acid-jazz",1,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/653/0000265371_<$size$>.jpg,2008-08-31T22:21:13.023Z,2008-06-16T00:00:00Z,40,Universal-Island Records Ltd.,"17,",10.99,10.99,http://www.7digital.com/artist/amy-winehouse/release/frank-5
385368,Valerie,,4,Mark Ronson featuring Amy Winehouse,886971636420,Album,2007,false,9,2634,pop,2,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/853/0000385368_<$size$>.jpg,2009-02-16T13:13:50.233Z,2007-08-24T00:00:00Z,592,Columbia,"17,",8.91,8.99,http://www.7digital.com/artist/amy-winehouse/release/valerie-11
